database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
rocksdb,tpcc,12500,50,439647,129604,0.281018,6.318988,C,C
rocksdb,tpcc,26522,50,878953,223330,0.50876,10.748151,C,C
rocksdb,tpcc,50249,50,1626739,378330,1.082575,21.171492,C,C
rocksdb,tpcc,100953,50,3158112,648215,2.499913,49.852986,C,C
rocksdb,tpcc,200737,50,6078822,1109997,5.577303,151.126597,C,C
rocksdb,tpcc,397846,50,11775896,1924531,11.242237,694.724982,C,C
rocksdb,tpcc,798136,50,23186820,3425154,22.319743,1946.191539,C,C
rocksdb,tpcc,1596227,50,45686404,6225035,51.46924,DNF,C,N/A
postgres,tpcc,1559,50,61996,25412,0.045172,1.818095,C,C
postgres,tpcc,2840,50,108815,41352,0.057598,2.466659,I,I
postgres,tpcc,6717,50,237386,79043,0.144231,3.888099,C,C
postgres,tpcc,13016,50,434819,125682,0.270217,5.837954,C,C
postgres,tpcc,28902,50,903953,221594,0.566232,9.742069,I,I
postgres,tpcc,56153,50,1707685,377477,1.253179,17.852407,C,C
postgres,tpcc,111608,50,3285875,643549,2.807756,35.069774,C,C
postgres,tpcc,222615,50,6356005,1102065,5.966571,87.679055,C,C
postgres,tpcc,442989,50,12442735,1931844,11.535367,373.433637,C,C
postgres,tpcc,886437,50,24420983,3434033,24.902216,974.876908,C,C
postgres,tpcc,1777734,50,48247456,6233519,54.649223,DNF,C,N/A
postgres,rubis,1006,50,8463,3218,0.008572,0.915964,C,C
postgres,rubis,2023,50,15870,5350,0.011234,1.22488,C,C
postgres,rubis,4021,50,29261,8296,0.034043,1.661365,C,C
postgres,rubis,8049,50,53847,12123,0.052659,2.303883,C,C
postgres,rubis,16056,50,102479,18799,0.101354,2.855469,C,C
postgres,rubis,32179,50,198370,31716,0.156237,5.487049,C,C
postgres,rubis,64294,50,391158,57174,0.295314,9.116274,C,C
postgres,rubis,128614,50,776478,108531,0.544327,17.798481,C,C
postgres,rubis,257149,50,1545510,211002,1.044303,37.016342,C,C
postgres,rubis,514379,50,3081473,416560,2.211602,133.642213,C,C
postgres,rubis,1028690,50,6165842,825181,4.72943,383.522931,C,C
cockroachdb,twitter,1014,100,8677,3580,0.011874,0.863499,C,C
cockroachdb,twitter,2011,100,15796,5939,0.015015,1.237375,C,C
cockroachdb,twitter,4034,100,29573,9633,0.029085,1.671027,C,C
cockroachdb,twitter,8043,100,54526,14123,0.02872,2.284889,C,C
cockroachdb,twitter,16106,100,107399,21815,0.070077,3.223832,C,C
cockroachdb,twitter,32181,100,218122,34971,0.156212,6.712066,C,C
cockroachdb,twitter,64401,100,461205,59561,0.306615,20.499276,C,C
cockroachdb,twitter,128689,100,994922,102429,0.606518,86.33983,C,C
cockroachdb,twitter,256727,100,2120512,180197,1.397401,611.40708,C,C
cockroachdb,twitter,513190,100,4400570,318671,3.032451,3244.725389,C,C
cockroachdb,twitter,1025246,100,8939662,556197,6.836462,DNF,C,N/A
cockroachdb,twitter,1017,50,8634,3506,0.011884,0.904355,C,C
cockroachdb,twitter,2034,50,16044,5929,0.016373,1.195775,C,C
cockroachdb,twitter,4062,50,29111,9410,0.021319,1.6275,C,C
cockroachdb,twitter,8113,50,55227,14528,0.039844,2.286729,C,C
cockroachdb,twitter,16232,50,107794,21879,0.059441,3.158309,C,C
cockroachdb,twitter,32477,50,221284,35272,0.168343,6.597911,C,C
cockroachdb,twitter,64908,50,463516,59984,0.289968,24.723853,C,C
cockroachdb,twitter,130157,50,1004606,103341,0.646945,116.413159,C,C
cockroachdb,twitter,259670,50,2158566,181912,1.421768,552.382068,C,C
cockroachdb,twitter,519776,50,4548563,318776,3.273699,1993.987002,C,C
cockroachdb,twitter,1039604,50,9245578,558361,6.841148,DNF,C,N/A
cockroachdb,tpcc,1690,100,63928,25747,0.043446,1.673704,C,C
cockroachdb,tpcc,3006,100,112432,42027,0.073226,2.322283,C,C
cockroachdb,tpcc,7287,100,236383,73464,0.173405,3.744749,C,C
cockroachdb,tpcc,14263,100,454555,126130,0.284872,6.154758,C,C
cockroachdb,tpcc,27641,100,846993,211548,0.540678,10.462814,C,C
cockroachdb,tpcc,55022,100,1637972,363635,1.098861,21.093477,I,I
cockroachdb,tpcc,108552,100,3151500,622270,2.654762,48.139453,C,C
cockroachdb,tpcc,220510,100,6170109,1062722,5.524668,200.793848,C,C
cockroachdb,tpcc,438806,100,12015687,1845689,11.585843,559.240368,C,C
cockroachdb,tpcc,875087,100,23566290,3282072,23.678697,3121.076912,C,C
cockroachdb,tpcc,1752078,100,46521224,5985503,51.833583,DNF,C,N/A
