database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,tpcc,3298,50,131505,49802,N/A,0.08662,16.86,C
rocksdb,tpcc,6975,50,252622,80782,N/A,0.176469,34.72,C
rocksdb,tpcc,12500,50,439647,129604,N/A,0.262828,63.34,C
rocksdb,tpcc,26522,50,878953,223330,N/A,0.518696,117.59,C
rocksdb,tpcc,50249,50,1626739,378330,N/A,1.18968,225.05,C
rocksdb,tpcc,100953,50,3158112,648215,N/A,2.75515,448.26,C
rocksdb,tpcc,200737,50,6078822,1109997,N/A,6.268468,892.02,C
rocksdb,tpcc,397846,50,11775896,1924531,N/A,11.459049,1783.46,C
rocksdb,tpcc,798136,50,23186820,3425154,N/A,22.870117,3422.71,C
rocksdb,tpcc,1596227,50,45686404,6225035,N/A,53.693306,6946.12,C
postgres,tpcc,1792,100,67382,27474,N/A,0.035746,9.27,C
postgres,tpcc,3221,100,113831,42266,N/A,0.084507,15.93,C
postgres,tpcc,6339,100,211011,70040,N/A,0.132128,30.54,C
postgres,tpcc,13657,100,415699,115297,N/A,0.25315,63.55,C
postgres,tpcc,27053,100,804194,198130,N/A,0.487024,111.42,C
postgres,tpcc,52930,100,1525392,336201,N/A,1.157827,218.62,I
postgres,tpcc,106914,100,2972843,571853,N/A,2.622553,438.89,C
postgres,tpcc,210643,100,5707765,972422,N/A,5.276752,881.21,C
postgres,tpcc,427535,100,11331147,1682928,N/A,10.054129,1666.98,C
postgres,tpcc,851346,100,22087897,2969990,N/A,22.575265,3333.71,C
postgres,tpcc,1698605,100,43431622,5351888,N/A,55.759279,6682.90,I
postgres,twitter,1011,100,8556,3504,N/A,0.012117,1.87,C
postgres,twitter,2017,100,15402,5765,N/A,0.014206,3.14,C
postgres,twitter,3977,100,29193,9446,N/A,0.031429,5.33,C
postgres,twitter,8045,100,55002,14351,N/A,0.052421,10.18,C
postgres,twitter,16035,100,106956,21971,N/A,0.097766,18.82,C
postgres,twitter,32100,100,217777,34869,N/A,0.188467,38.71,C
postgres,twitter,64297,100,461582,59015,N/A,0.360457,82.83,C
postgres,twitter,128850,100,1002036,102134,N/A,0.864886,176.93,C
postgres,twitter,257920,100,2159484,180527,N/A,2.123009,395.72,C
postgres,twitter,516497,100,4545643,318296,N/A,4.797503,866.33,C
postgres,twitter,1033128,100,9255091,556942,N/A,9.935389,1815.33,C
cockroachdb,tpcc,1870,50,72987,28939,N/A,0.072477,11.59,C
cockroachdb,tpcc,3161,50,126690,47788,N/A,0.08604,16.42,C
cockroachdb,tpcc,6811,50,245401,80141,N/A,0.14608,33.44,C
cockroachdb,tpcc,14590,50,488660,135338,N/A,0.334208,70.83,C
cockroachdb,tpcc,28630,50,917753,228931,N/A,0.554273,122.68,C
cockroachdb,tpcc,56148,50,1763153,398690,N/A,1.340672,302.71,C
cockroachdb,tpcc,114125,50,3433898,678735,N/A,3.054936,611.76,C
cockroachdb,tpcc,225014,50,6636934,1177961,N/A,6.794367,983.66,C
cockroachdb,tpcc,450710,50,12973823,2062582,N/A,13.533003,1978.60,C
cockroachdb,tpcc,905587,50,25620662,3687906,N/A,27.028669,4031.73,C
cockroachdb,tpcc,1812223,50,50577782,6730354,N/A,56.529668,7714.84,C
rocksdb,twitter,1000,50,8409,3550,N/A,0.010221,1.94,C
rocksdb,twitter,1999,50,15846,6036,N/A,0.016514,3.13,C
rocksdb,twitter,4013,50,29281,9469,N/A,0.02448,5.40,C
rocksdb,twitter,7942,50,54718,14538,N/A,0.036226,10.23,C
rocksdb,twitter,15856,50,103840,22034,N/A,0.108317,18.03,C
rocksdb,twitter,31371,50,201261,35242,N/A,0.172058,35.79,C
rocksdb,twitter,62149,50,403613,59742,N/A,0.333991,73.38,C
rocksdb,twitter,122733,50,804354,103760,N/A,0.713952,143.39,C
