database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,twitter,242459,50,1603636,181419,N/A,4.263797,1211.88,C
rocksdb,twitter,481027,50,3176724,319502,N/A,10.004932,2974.77,C
rocksdb,twitter,956588,50,6232203,559815,N/A,20.113529,6398.24,C
cockroachdb,tpcc,1870,50,72987,28939,N/A,0.077212,22.38,C
cockroachdb,tpcc,3161,50,126690,47788,N/A,0.125593,33.49,C
cockroachdb,tpcc,6811,50,245401,80141,N/A,0.25357,71.20,C
cockroachdb,tpcc,14590,50,488660,135338,N/A,0.531788,147.08,C
cockroachdb,tpcc,28630,50,917753,228931,N/A,0.991398,282.23,C
cockroachdb,tpcc,56148,50,1763153,398690,N/A,2.274459,588.92,C
cockroachdb,tpcc,114125,50,3433898,678735,N/A,5.137793,1243.02,C
cockroachdb,tpcc,225014,50,6636934,1177961,N/A,11.618628,2663.57,C
cockroachdb,tpcc,450710,50,12973823,2062582,N/A,25.419929,5439.21,C
cockroachdb,tpcc,905587,50,25620662,3687906,N/A,59.343773,12674.69,C
cockroachdb,tpcc,1812223,50,50577782,6730354,N/A,142.164888,30909.00,C
