database,script,txns,sessions,events,keys,ours (s),plume (s),dbcop (s),ours (res),plume (res),dbcop (res)
cockroachdb,tpcc,14263,100,454555,126130,1.380556,7.295547,DNR,C,C,DNR
cockroachdb,tpcc,27641,100,846993,211548,2.801943,11.160803,DNR,C,C,DNR
cockroachdb,tpcc,55022,100,1637972,363635,6.01453,22.759001,DNR,I,I,DNR
cockroachdb,tpcc,108552,100,3151500,622270,12.395391,50.889188,DNR,C,C,DNR
cockroachdb,tpcc,220510,100,6170109,1062722,26.918306,199.128876,DNR,C,C,DNR
cockroachdb,tpcc,438806,100,12015687,1845689,59.921191,567.414798,DNR,C,C,DNR
cockroachdb,tpcc,875087,100,23566290,3282072,134.917353,3031.266383,DNR,C,C,DNR
cockroachdb,tpcc,1752078,100,46521224,5985503,357.994907,DNF,DNR,C,N/A,DNR
cockroachdb,twitter,1014,100,8677,3580,0.040137,0.945582,0.031867,C,C,C
cockroachdb,twitter,2011,100,15796,5939,0.073824,1.350379,0.278975,C,C,C
cockroachdb,twitter,4034,100,29573,9633,0.127576,1.969074,16.693437,C,C,C
cockroachdb,twitter,8043,100,54526,14123,0.21306,3.061235,DNR,C,C,DNR
cockroachdb,twitter,16106,100,107399,21815,0.388111,4.610407,DNR,C,C,DNR
cockroachdb,twitter,32181,100,218122,34971,0.816228,7.924796,DNR,C,C,DNR
cockroachdb,twitter,64401,100,461205,59561,2.013189,22.851018,DNR,C,C,DNR
cockroachdb,twitter,128689,100,994922,102429,5.090033,84.346404,DNR,C,C,DNR
cockroachdb,twitter,256727,100,2120512,180197,12.752661,592.053017,DNR,C,C,DNR
cockroachdb,twitter,513190,100,4400570,318671,30.317786,3176.846102,DNR,C,C,DNR
cockroachdb,twitter,1025246,100,8939662,556197,69.283474,DNF,DNR,C,N/A,DNR
postgres,twitter,1018,50,8679,3676,0.036652,0.939173,0.083262,C,C,C
postgres,twitter,2028,50,15680,5921,0.063382,1.377962,1.734535,C,C,C
postgres,twitter,4051,50,29433,9571,0.110773,2.052543,87.87715,C,C,C
postgres,twitter,8112,50,55353,14475,0.176895,2.777645,DNR,C,C,DNR
postgres,twitter,16212,50,107924,21942,0.320945,4.321461,DNR,C,C,DNR
postgres,twitter,32422,50,220249,35383,0.693169,6.804675,DNR,C,C,DNR
postgres,twitter,64938,50,466340,59429,1.610733,11.763712,DNR,C,C,DNR
postgres,twitter,129917,50,1005686,103370,4.109976,33.802199,DNR,C,C,DNR
postgres,twitter,260045,50,2172120,181461,9.802203,97.148918,DNR,C,C,DNR
postgres,twitter,520149,50,4546264,320243,23.419668,491.53106,DNR,C,C,DNR
postgres,twitter,1040886,50,9295212,560158,49.192961,1550.015173,DNR,C,C,DNR
rocksdb,tpcc,1402,100,58559,24485,0.200194,1.967127,0.23601,C,C,C
