database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
rocksdb,tpcc,1596227,50,45686404,6225035,53.38341,DNF,C,N/A
postgres,rubis,1006,50,8463,3218,0.009584,1.020542,C,C
postgres,rubis,2023,50,15870,5350,0.012614,1.460413,C,C
postgres,rubis,4021,50,29261,8296,0.020562,2.066019,C,C
postgres,rubis,8049,50,53847,12123,0.045384,2.822374,C,C
postgres,rubis,16056,50,102479,18799,0.113058,3.938965,C,C
postgres,rubis,32179,50,198370,31716,0.177093,6.381215,C,C
postgres,rubis,64294,50,391158,57174,0.362563,11.931742,C,C
postgres,rubis,128614,50,776478,108531,0.710195,24.754482,C,C
postgres,rubis,257149,50,1545510,211002,1.47256,56.565998,C,C
postgres,rubis,514379,50,3081473,416560,3.251789,192.69694,C,C
postgres,rubis,1028690,50,6165842,825181,6.993842,695.25055,C,C
cockroachdb,tpcc,1870,50,72987,28939,0.067399,1.982299,C,C
cockroachdb,tpcc,3161,50,126690,47788,0.095166,2.736097,C,C
cockroachdb,tpcc,6811,50,245401,80141,0.183249,4.164703,C,C
cockroachdb,tpcc,14590,50,488660,135338,0.341333,6.714549,C,C
cockroachdb,tpcc,28630,50,917753,228931,0.550507,12.615176,C,C
cockroachdb,tpcc,56148,50,1763153,398690,1.228103,24.836817,C,C
cockroachdb,tpcc,114125,50,3433898,678735,2.809407,55.006127,C,C
cockroachdb,tpcc,225014,50,6636934,1177961,6.459559,158.718096,C,C
cockroachdb,tpcc,450710,50,12973823,2062582,13.020557,550.838206,C,C
cockroachdb,tpcc,905587,50,25620662,3687906,26.132879,5427.559463,C,C
cockroachdb,tpcc,1812223,50,50577782,6730354,56.617516,DNF,C,N/A
cockroachdb,twitter,1017,50,8634,3506,0.014531,1.03739,C,C
cockroachdb,twitter,2034,50,16044,5929,0.015654,1.310633,C,C
cockroachdb,twitter,4062,50,29111,9410,0.031807,1.882546,C,C
cockroachdb,twitter,8113,50,55227,14528,0.043409,2.66601,C,C
cockroachdb,twitter,16232,50,107794,21879,0.083626,4.411502,C,C
cockroachdb,twitter,32477,50,221284,35272,0.186254,7.86396,C,C
cockroachdb,twitter,64908,50,463516,59984,0.381927,25.97166,C,C
cockroachdb,twitter,130157,50,1004606,103341,0.843033,117.765504,C,C
cockroachdb,twitter,259670,50,2158566,181912,2.02793,547.21552,C,C
cockroachdb,twitter,519776,50,4548563,318776,4.437646,2073.76832,C,C
cockroachdb,twitter,1039604,50,9245578,558361,9.226958,DNF,C,N/A
rocksdb,tpcc,1402,100,58559,24485,0.042994,1.838584,C,C
rocksdb,tpcc,3108,100,120505,45970,0.066126,2.498922,C,C
rocksdb,tpcc,5817,100,215210,71084,0.134972,4.13599,C,C
rocksdb,tpcc,11843,100,404052,117098,0.271533,6.227737,C,C
rocksdb,tpcc,24477,100,789709,199965,0.490628,11.20398,C,C
rocksdb,tpcc,48217,100,1507931,341553,1.117801,27.3866,C,C
rocksdb,tpcc,95045,100,2881027,582563,2.379827,67.826744,C,C
rocksdb,tpcc,188674,100,5604325,1004556,4.530387,236.846809,C,C
rocksdb,tpcc,377636,100,10893963,1732496,9.350596,808.097461,C,C
rocksdb,tpcc,756092,100,21426307,3066796,21.466671,2723.920691,C,C
rocksdb,tpcc,1514105,100,42274017,5541737,52.027398,DNF,C,N/A
